state,trump_per,model_three,diff_three
Alabama,62.1,64.2,2.1
Alaska,51.3,,
Arizona,47.6,52.8,5.2
Arkansas,60.6,55.3,-5.3
California,31.6,,
Colorado,43.3,44.4,1.1
Connecticut,40.9,46.6,5.7
Delaware,41.8,42.8,1.1
District of Columbia,4.1,10.9,6.8
Florida,49.0,40.8,-8.2
Georgia,50.8,55.7,5.0
Hawaii,30.4,,
Idaho,59.2,55.6,-3.7
Illinois,38.6,38.1,-0.5
Indiana,56.9,63.1,6.1
Iowa,51.1,46.1,-5.1
Kansas,56.7,54.4,-2.3
Kentucky,62.5,55.1,-7.4
Louisiana,58.1,56.7,-1.4
Maine,45.0,47.9,2.9
Massachusetts,33.3,27.2,-6.1
Maryland,33.9,,
Michigan,47.5,48.1,0.6
Minnesota,44.9,49.1,4.2
Mississippi,57.9,59.2,1.3
Missouri,56.8,55.3,-1.5
Montana,56.2,,
Nebraska,58.8,58.1,-0.7
Nevada,45.5,47.7,2.2
New Hampshire,46.5,48.8,2.3
New Jersey,41.4,45.8,4.5
New Mexico,40.0,42.1,2.0
New York,36.5,39.1,2.6
North Carolina,49.8,47.5,-2.3
North Dakota,63.0,,
Ohio,51.7,48.0,-3.6
Oklahoma,65.3,,
Oregon,39.1,32.4,-6.7
Pennsylvania,48.6,51.6,3.0
Rhode Island,38.9,41.0,2.1
South Carolina,54.9,54.5,-0.5
South Dakota,61.5,64.5,3.0
Tennessee,60.7,63.1,2.4
Texas,52.2,47.8,-4.5
Utah,45.5,49.3,3.8
Vermont,30.3,26.8,-3.5
Virginia,44.4,45.3,0.9
Washington,38.1,40.9,2.8
West Virginia,68.6,62.4,-6.3
Wisconsin,47.2,48.6,1.4
Wyoming,68.2,62.7,-5.5
